Keyword;Nama Bisnis;Kategori;Rating;Jumlah Ulasan;Nomor Telepon;Punya Website?;Link Website;Alamat;Link Google Maps
bengkel motor;LaiNaga Bengkel Sp.Motor;Bengkel Sepeda Motor;5;2;0822-7642-1080;Tidak;;Pas di sebrang Kopi Takar, Jl. Setia Budi No.36, Kota Medan, Sumatera Utara 20121;https://www.google.com/maps/place/LaiNaga+Bengkel+Sp.Motor/data=!4m7!3m6!1s0x30312f2b033a305d:0xb85888abdb561fa8!8m2!3d3.5816458!4d98.6431092!16s%2Fg%2F11s5gjgb4n!19sChIJXTA6AysvMTARqB9W26uIWLg?authuser=0&hl=id&rclk=1
bengkel motor;Acheng Bikers;Bengkel Sepeda Motor;5;21;0822-7757-3507;Tidak;;Jl. Persatuan Gg. Ikhlas No.8, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235;https://www.google.com/maps/place/Acheng+Bikers/data=!4m7!3m6!1s0x3031330faca51555:0x3ca42666c8a753a!8m2!3d3.60158!4d98.6655552!16s%2Fg%2F11fp313l3s!19sChIJVRWlrA8zMTAROnWKbGZCygM?authuser=0&hl=id&rclk=1
bengkel motor;Bengkel Motor Mandiri Jaya;Bengkel Sepeda Motor;5;8;;Tidak;;Jl. Kasuari No.4, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20119;https://www.google.com/maps/place/Bengkel+Motor+Mandiri+Jaya/data=!4m7!3m6!1s0x30312f0013548cd7:0x7d77c5125f164df6!8m2!3d3.5843266!4d98.6407208!16s%2Fg%2F11lmhk1vqf!19sChIJ14xUEwAvMTAR9k0WXxLFd30?authuser=0&hl=id&rclk=1
bengkel motor;Bengkel motor sosial;Toko;5;15;0857-6103-2395;Tidak;;HJHR+29G, Gg. Sosial, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20154;https://www.google.com/maps/place/Bengkel+motor+sosial/data=!4m7!3m6!1s0x30312f0031caaaab:0x30c62649b0742be4!8m2!3d3.5775729!4d98.6409413!16s%2Fg%2F11w2lv0vnk!19sChIJq6rKMQAvMTAR5Ct0sEkmxjA?authuser=0&hl=id&rclk=1
minimarket;Alfath Mart Niaga UMKM;Minimarket;5;6;0821-8332-2258;Tidak;;Jl. Garu III No.5, RW.6, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20147;https://www.google.com/maps/place/Alfath+Mart+Niaga+UMKM/data=!4m7!3m6!1s0x3031319d0c28e02d:0x1f9bf7e24194b9!8m2!3d3.5431708!4d98.7073467!16s%2Fg%2F11v1277t7m!19sChIJLeAoDJ0xMTARuZRB4vebHwA?authuser=0&hl=id&rclk=1
minimarket;Hall Mart 313;Minimarket;5;3;(061) 7874947;Tidak;;Jl. Pertahanan No.69, Timbang Deli, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20148;https://www.google.com/maps/place/Hall+Mart+313/data=!4m7!3m6!1s0x30313a7382572609:0xc1b0403591c66900!8m2!3d3.531372!4d98.718762!16s%2Fg%2F11bc7nm9rn!19sChIJCSZXgnM6MTARAGnGkTVAsME?authuser=0&hl=id&rclk=1
toko oleh-oleh;Selerra Oleh-oleh & Snack;Toko Makanan Sehat;5;10;0877-3887-8478;Tidak;;Jl. Sisingamangaraja No.197, Sudirejo I, Kec. Medan Kota, Kota Medan, Sumatera Utara 20216;https://www.google.com/maps/place/Selerra+Oleh-oleh+%26+Snack/data=!4m7!3m6!1s0x303131eca1dc1c5f:0xe094fd060ca9498d!8m2!3d3.560371!4d98.6939819!16s%2Fg%2F11yszkvly8!19sChIJXxzcoewxMTARjUmpDAb9lOA?authuser=0&hl=id&rclk=1
toko oleh-oleh;Kede Oleh Oleh Medan;Toko Suvenir;5;15;;Tidak;;Jl. Razak No.9, Sekip, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20113;https://www.google.com/maps/place/Kede+Oleh+Oleh+Medan/data=!4m7!3m6!1s0x3031317df2ab0eff:0x4b070d1b74ebf8e6!8m2!3d3.5943899!4d98.6663489!16s%2Fg%2F11y1brvfmq!19sChIJ_w6r8n0xMTAR5vjrdBsNB0s?authuser=0&hl=id&rclk=1
toko oleh-oleh;HD Toko Oleh Oleh dari Medan;Toko Roti;5;1;0822-6828-5907;Tidak;;Jl. Pelangi No.20, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20215;https://www.google.com/maps/place/HD+Toko+Oleh+Oleh+dari+Medan/data=!4m7!3m6!1s0x30313100768c5b03:0xf26ca1a15ae8e70c!8m2!3d3.5629012!4d98.6919727!16s%2Fg%2F11md9t_zp9!19sChIJA1uMdgAxMTARDOfoWqGhbPI?authuser=0&hl=id&rclk=1
toko oleh-oleh;Bolu Menara Gloria Swalayan - Oleh Oleh Khas Medan;Toko Roti;5;3;0821-6169-2991;Tidak;;Jl. Gatot Subroto No.129, Sei Sikambing C. II, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20123;https://www.google.com/maps/place/Bolu+Menara+Gloria+Swalayan+-+Oleh+Oleh+Khas+Medan/data=!4m7!3m6!1s0x30312f76f8fc7f11:0x746c374d2b0b11f9!8m2!3d3.5904987!4d98.6512557!16s%2Fg%2F11srrvj1c8!19sChIJEX_8-HYvMTAR-RELK003bHQ?authuser=0&hl=id&rclk=1
toko oleh-oleh;Pusat Oleh Oleh Haji Medan;Toko;5;1;0877-9954-5054;Tidak;;HJ9R+PCG, Tj. Rejo, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20154;https://www.google.com/maps/place/Pusat+Oleh+Oleh+Haji+Medan/data=!4m7!3m6!1s0x30312f1d6e4e9185:0xec04c87c24721a63!8m2!3d3.5693099!4d98.6410652!16s%2Fg%2F11v0_wst1c!19sChIJhZFObh0vMTARYxpyJHzIBOw?authuser=0&hl=id&rclk=1
toko oleh-oleh;Lapis Deli Medan - Oleh oleh Khas Medan;Toko Permen;5;4;;Tidak;;Jl. K.H. Wahid Hasyim No.46/35, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20154;https://www.google.com/maps/place/Lapis+Deli+Medan+-+Oleh+oleh+Khas+Medan/data=!4m7!3m6!1s0x30312fc03a5fd581:0x6863dadbe65cb14e!8m2!3d3.5675228!4d98.637735!16s%2Fg%2F11j7fy7__4!19sChIJgdVfOsAvMTARTrFc5tvaY2g?authuser=0&hl=id&rclk=1
klinik;KLINIK MENTENG MEDAN;Klinik Medis;5;2;0852-0644-0583;Tidak;;Jl. Menteng VII No.N0. 83, Medan Tenggara, Kec. Medan Denai, Kota Medan, Sumatera Utara 20228;https://www.google.com/maps/place/KLINIK+MENTENG+MEDAN/data=!4m7!3m6!1s0x303130ecb04d711d:0xe0f1efebf97d2e25!8m2!3d3.5630153!4d98.7210583!16s%2Fg%2F11b8tcrt3l!19sChIJHXFNsOwwMTARJS59-evv8eA?authuser=0&hl=id&rclk=1
klinik;Klinik Pratama RJ Katamso;Klinik Medis;5;130;0812-6542-5406;Tidak;;Gg. Lampu I No.2 ABC, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara 20158;https://www.google.com/maps/place/Klinik+Pratama+RJ+Katamso/data=!4m7!3m6!1s0x3031314373fa8137:0xa7c050196046d168!8m2!3d3.5576094!4d98.6882919!16s%2Fg%2F11kc68vhzw!19sChIJN4H6c0MxMTARaNFGYBlQwKc?authuser=0&hl=id&rclk=1
